CustomerID,Name,Email,Region,LoyaltyTier
1,Heather Sanders,victoria67@yahoo.com,East,Silver
2,Jessica Stevens,vegadorothy@hotmail.com,North,Silver
3,Erik Patterson,david86@anderson.com,East,Platinum
4,Mark Roberts,inunez@yahoo.com,West,Platinum
5,Vincent Jackson,johnreed@yahoo.com,South,Gold
6,Julia Norris,johnsondonna@miranda.com,West,Platinum
7,Jeffrey Rodriguez,wheelersean@warner.biz,West,Gold
8,James Miller,amberwebster@gmail.com,East,Platinum
9,Nichole Walker,jim95@harper.com,West,Silver
10,Angela Schultz,roberthill@fry.biz,East,Gold
11,Cheyenne Parsons,comptonshelly@hotmail.com,North,Gold
12,Tyler Brewer,heather62@yahoo.com,North,Gold
13,Brian Scott,karenwells@gmail.com,East,Silver
14,Christian Malone,lindamelendez@hotmail.com,North,Silver
15,Trevor Burton,igrant@yahoo.com,South,Silver
16,Justin Riley,james17@davis-hardy.com,West,Silver
17,Sonia Day,nicholas99@russo.org,South,Silver
18,Mrs. Tricia Stewart,vclark@krueger-smith.com,West,Gold
19,John Welch,srocha@padilla.com,North,Silver
20,Leslie Bell,powens@yahoo.com,South,Gold
21,Joel Johnson,michael77@gmail.com,North,Silver
22,Dustin Newman,robin55@yahoo.com,West,Platinum
23,Ann Wheeler,joycesmith@donovan.com,East,Gold
24,Kevin Best,jerry93@pierce-harding.com,East,Platinum
25,Amanda Stout,plevy@hotmail.com,South,Gold
26,Chelsea Jacobs,yjackson@yahoo.com,North,Platinum
27,Tina Hayes,jenniferfreeman@mooney.com,North,Silver
28,Sara Haas,gutierrezmegan@jones.com,South,Silver
29,Matthew Williams,nbrooks@estrada.info,East,Silver
30,Wendy Warren,patelrobert@moreno.net,West,Gold
31,Helen Hardin,shawheidi@yahoo.com,South,Platinum
32,Raymond Shelton,hullalice@lee.com,West,Silver
33,Mark Cook,laura15@yahoo.com,East,Platinum
34,Justin Hughes,veronicaperez@hotmail.com,North,Platinum
35,Samuel Brandt,davisnicholas@alvarez.com,East,Silver
36,Brittany Miller,vnewman@hotmail.com,South,Silver
37,Sydney Collins,hallrachel@clay.com,North,Platinum
38,Mary Anderson,whitemelissa@gmail.com,South,Silver
39,Angela Hansen,karenmarquez@hickman-evans.org,South,Silver
40,Erin Anderson,irhodes@reyes-singh.com,East,Silver
41,Theresa Osborn,davisjesse@gmail.com,South,Gold
42,Anna Santiago,unovak@gmail.com,East,Platinum
43,Alicia Parker,whenry@hotmail.com,North,Platinum
44,Gloria Miranda,llopez@hotmail.com,East,Gold
45,Zachary Moore,bartonkenneth@gmail.com,North,Platinum
46,Richard Romero,adamsnorman@moore.com,East,Silver
47,Nancy Rose,sean41@miller.info,West,Platinum
48,Sherri Williamson,johnsonmichael@gmail.com,West,Silver
49,Brittany White,asmith@yahoo.com,South,Gold
50,Lori Orr,ashleyjackson@jackson-adams.com,East,Silver
51,Amanda Diaz,bryanhamilton@yahoo.com,East,Platinum
52,Tracy Bishop,xpatton@yahoo.com,North,Platinum
53,Rachel Young,mwheeler@rodriguez-torres.biz,South,Platinum
54,Vincent Mueller,vbrock@yahoo.com,East,Gold
55,Cheyenne Gregory,pochoa@hotmail.com,South,Gold
56,Jessica Hammond,malik37@thompson-sanders.com,West,Platinum
57,Kathryn Barnes,yfaulkner@gmail.com,East,Silver
58,Curtis Jacobs,yramirez@yahoo.com,East,Gold
59,Amy Castillo,frederickjames@hotmail.com,South,Platinum
60,Timothy Dawson,bentonsteven@clark.com,East,Platinum
61,Belinda Miller,ttaylor@gmail.com,South,Gold
62,Jerry Palmer,jennifermccormick@gmail.com,East,Gold
63,Anna Lozano,iaguilar@hotmail.com,North,Gold
64,Stacey Arias,gibbsmichael@hotmail.com,South,Silver
65,James Brooks,mackdiane@jackson-salazar.org,East,Silver
66,Brad Walker,tammy61@gmail.com,West,Platinum
67,Brett Espinoza,jeffrey88@watts.info,East,Gold
68,Charles Johnson,whitney71@perry-nixon.com,West,Silver
69,Kaitlyn Guerra,larry73@webb.info,West,Gold
70,Julie Gilbert,evanslisa@gmail.com,North,Platinum
71,Alicia Lewis,deborah23@thompson.info,South,Silver
72,Todd Lynch,lsoto@sandoval.com,East,Silver
73,Ricardo Young,tprice@gmail.com,North,Silver
74,David Fowler,karen19@lloyd.com,East,Platinum
75,Amy Copeland,james14@hotmail.com,West,Gold
76,Mr. Mark Andrews DDS,candice96@hotmail.com,South,Silver
77,Aaron Gomez,michael79@cervantes.com,East,Platinum
78,Chelsea Barnett,lawrenceallen@white.com,East,Gold
79,Heather Ashley,kcarlson@yahoo.com,West,Platinum
80,Rachel Romero,tommymedina@hotmail.com,East,Gold
81,Shane Williams,tracytaylor@wilkinson-harvey.com,East,Platinum
82,James Burgess,ytaylor@wagner.biz,West,Gold
83,Austin Allen,kjackson@gmail.com,North,Silver
84,Ashley Perkins,antonio38@jackson-ellis.info,West,Gold
85,Brandi Bell,adamsamy@weaver-sherman.info,North,Platinum
86,Marvin Greer,pgarcia@evans.info,South,Platinum
87,Veronica Mendoza,michelle17@gmail.com,North,Gold
88,Chad Baldwin,lisamatthews@callahan-bishop.biz,North,Silver
89,Amanda Harris,kristenli@hudson.com,South,Silver
90,Stacey Stewart,tiffany44@adams.com,North,Gold
91,James Ochoa,rsellers@martinez.com,West,Gold
92,Andrew Lucas,kburns@adams.com,North,Platinum
93,Scott Williams,heather57@yahoo.com,South,Silver
94,Denise Lloyd,meltonmelanie@gmail.com,West,Gold
95,James Gonzales,melissa86@gmail.com,South,Silver
96,Gina Lopez,troymorris@yahoo.com,South,Gold
97,Holly Salinas,ashleewashington@yahoo.com,East,Gold
98,Bradley Coleman,garciakristen@smith-noble.com,East,Silver
99,Zachary White,bsmith@gmail.com,South,Gold
100,Brian Murphy,erik41@ward.com,South,Gold
101,Jeremy Robbins,ugarrett@fischer.com,South,Platinum
102,Jeremy West,thomasanderson@stone.com,East,Gold
103,Susan Mendez,lisa62@jones-reyes.com,East,Gold
104,Mark Moody,michael42@ayala-mullins.com,North,Gold
105,Michael Sullivan,morenoalan@martin.com,North,Platinum
106,Nicole Moore,fheath@gmail.com,South,Silver
107,Samuel Gregory,lawrencepatrick@edwards-taylor.com,West,Platinum
108,Cameron Young,angelagreene@mitchell.com,West,Platinum
109,Heidi Herring,juliephillips@bowers.info,East,Silver
110,Christian Cole,allendanielle@gmail.com,East,Platinum
111,Jeremy Jones,sarah26@fisher.info,East,Silver
112,Jacob Edwards,matthewsalexander@williams.biz,South,Platinum
113,Tyler Johnson,zhenderson@gmail.com,West,Silver
114,Joseph Mcintyre,christopher18@mccann.net,North,Gold
115,Reginald Padilla,wwillis@hotmail.com,South,Platinum
116,Logan Benson,holly30@miller.com,North,Platinum
117,Mrs. Brandy Jones MD,parkerjudith@hotmail.com,North,Platinum
118,Yolanda Cochran,smithderrick@martin.net,South,Platinum
119,Victoria Contreras,nathanbrady@yahoo.com,North,Gold
120,Krista Roberts,rogersruben@brown.com,West,Platinum
121,Christopher Mckinney,ddixon@yahoo.com,North,Gold
122,Carrie Ward,eric19@sharp.com,West,Gold
123,William Conner,brandoncox@white.net,West,Gold
124,Johnny Ward,marcbutler@hotmail.com,West,Gold
125,Julie Bird,margaret95@gmail.com,East,Silver
126,Stephen Jones,jeffreyblack@finley.info,North,Silver
127,Mitchell Mendoza,mark87@gmail.com,South,Platinum
128,Jason Andrews,kellymueller@hotmail.com,South,Silver
129,Evan Jones,frichardson@oconnor.com,North,Silver
130,Joseph Anderson,randolphandrew@reed.com,East,Platinum
131,Kristen Matthews,usweeney@garcia-moreno.com,East,Platinum
132,Betty Shaw,jwoodward@hotmail.com,West,Platinum
133,Sandra Holmes,williamsjesse@hotmail.com,North,Silver
134,Christopher Donovan,stephen19@gmail.com,North,Silver
135,Travis Stone,kjones@graham.com,South,Platinum
136,Blake Gonzalez,melissa65@yahoo.com,North,Gold
137,Denise Weber,jesus32@hotmail.com,East,Platinum
138,Anna Davidson,danielcole@russell-herrera.com,North,Gold
139,Lauren Jackson,steven11@gmail.com,South,Gold
140,Stephanie Morgan,lewismelissa@gmail.com,West,Platinum
141,Amanda Shields,tanyafoster@byrd.com,South,Platinum
142,Travis Wise,jbond@pierce.com,South,Platinum
143,Daniel Armstrong,brownkimberly@anderson.com,West,Silver
144,Amanda Small,samantha10@gonzalez.info,South,Gold
145,Maria Turner,steinmaria@martinez-dunlap.com,South,Silver
146,Robert Sullivan,zunderwood@johnson-vega.com,North,Silver
147,Michael Moore,rebekahhill@yahoo.com,North,Platinum
148,John Peterson,mendezchristina@phillips.com,West,Silver
149,Scott Flores,patrick63@wilkerson.net,North,Platinum
150,Haley Ross PhD,wcasey@stephens-washington.org,North,Gold
151,Ashley Allen,bnelson@yahoo.com,South,Platinum
152,Jerry Thomas,huangkimberly@stokes.net,East,Silver
153,Tony Lin,terrigarcia@hotmail.com,North,Silver
154,Victor Barrera,amanda03@bradford.com,East,Platinum
155,Taylor Griffith,brittanydrake@howard.com,North,Platinum
